building_type_raw, raw description, building_type, type description
HS, single family residential, HS, 
HT, townhomes, HT, 
HM, multi family residential, HM, 
MH, mobile home, HM, 
CM, common area, VP, 
OF, office, OF, 
HP, hospital, OF, 
HO, hotel, HO, 
SC, school, SC, 
UN, college or university, SC, 
IL, light industrial, IL, 
FP, food processing and wineries, IL, 
IW, warehouse, IW, 
IH, heavy industrial, IH, 
RS, retail general, RS, 
RB, retail big box or regional, RB, 
MR, mixed use residential focused, MR, 
MT, mixed use industiral focused, MT, 
ME, mixed use employment focused, ME, 
PA, parking lot, VA, 
PG, parking garage, PG, 
VA, vacant now, VA, 
LR, golf course or other low density rec use, RS, 
VP, vacant permanently, VP,  
